'GLCM_pan','Mean_Green','Mean_Red','Mean_NIR','SD_pan','id','outlier'
120.3627737,205.5,119.3953488,416.5813953,20.67631835,1.0,'yes'
124.7395833,202.8,115.3333333,354.3333333,16.70715083,2.0,'yes'
134.6919643,199.2857143,116.8571429,477.8571429,22.49671178,3.0,'yes'
127.9463087,178.3684211,92.36842105,278.4736842,14.97745305,4.0,'yes'
135.4315476,197.0,112.6904762,532.952381,17.60419258,5.0,'yes'
118.3479624,226.15,138.85,608.9,29.07279656,6.0,'yes'
135.4362819,184.5,95.14285714,309.1904762,13.05526366,7.0,'yes'
121.1696429,226.0,146.2142857,595.5714286,22.80854208,8.0,'yes'
131.1271605,232.7843137,144.5882353,563.8431373,11.94856335,9.0,'yes'
134.4980916,210.2121212,116.9090909,594.8484848,27.93768482,10.0,'yes'
131.1647727,206.6818182,114.7272727,483.0454545,22.9035437,11.0,'yes'
136.0959596,201.4,111.4,444.6,16.55362196,12.0,'yes'
122.6319018,230.5609756,142.195122,473.7073171,24.52188863,13.0,'yes'
113.6561798,213.1071429,129.7857143,480.8571429,29.23776563,14.0,'yes'
133.894198,191.6216216,115.5135135,419.5135135,17.48913886,15.0,'yes'
131.1114983,213.6666667,125.4444444,537.8888889,19.43481905,16.0,'yes'
127.8356974,201.3584906,116.509434,372.1320755,23.92911092,17.0,'yes'
121.6112601,199.7446809,121.0638298,338.1276596,15.01910659,18.0,'yes'
106.2421053,221.75,140.0,381.1666667,18.90326251,19.0,'yes'
147.7711268,220.1111111,123.7222222,479.1666667,23.33703674,20.0,'yes'
135.8239376,192.2328767,115.0958904,332.4246575,12.80569164,21.0,'yes'
134.9589744,226.6734694,141.4693878,435.9591837,17.60610719,22.0,'yes'
128.5314083,188.984,93.312,296.616,16.93249468,23.0,'yes'
143.5287356,170.3636364,78.45454545,400.0,10.83230552,24.0,'yes'
141.109375,164.625,68.0,242.5,6.75347133,25.0,'yes'
140.0260304,189.8965517,89.24137931,561.3103448,23.8375896,26.0,'yes'
132.5877301,222.3921569,133.0588235,579.2156863,19.83265243,27.0,'yes'
121.7578947,174.0,92.66666667,217.7777778,14.05544576,28.0,'yes'
135.6771654,199.75,105.2083333,453.3333333,16.18507328,29.0,'yes'
119.4574037,180.7419355,93.14516129,227.7741935,12.29325382,30.0,'yes'
124.591944,179.4166667,89.08333333,208.0833333,20.35260168,31.0,'yes'
126.527972,178.7777778,85.11111111,359.7777778,11.08051343,32.0,'yes'
135.0244845,190.877551,104.5510204,270.6530612,14.32993157,33.0,'yes'
142.5657895,183.4166667,89.76388889,240.2638889,11.2986602,34.0,'yes'
124.6110092,180.826087,93.43478261,242.6086957,9.803702433,35.0,'yes'
130.8496504,175.3333333,83.40277778,342.2777778,21.17167847,36.0,'yes'
133.8541667,166.4074074,78.74074074,254.3703704,14.17507618,37.0,'yes'
119.7145576,231.8333333,153.5151515,591.0151515,25.38598722,38.0,'yes'
123.2785445,218.26,129.68,600.22,29.89494272,39.0,'yes'
117.6392915,215.5641026,131.2051282,504.0769231,22.19422958,40.0,'yes'
138.5127238,202.0447761,118.5373134,445.9253731,20.08493882,41.0,'yes'
118.5783235,198.5675676,117.0675676,429.1351351,33.42097075,42.0,'yes'
134.0640366,183.4636364,95.59090909,236.6818182,18.0037301,43.0,'yes'
117.650655,236.4861111,155.4583333,541.5416667,18.51182055,44.0,'yes'
135.2842566,234.6511628,149.8372093,587.0,22.06688785,45.0,'yes'
123.3024283,207.754386,120.6666667,436.0877193,18.28445596,46.0,'yes'
128.0960929,199.2,118.4,403.3333333,21.40589223,47.0,'yes'
119.6355506,200.6517857,118.8214286,312.5178571,21.87177819,48.0,'yes'
119.5065217,224.2413793,131.5862069,592.2413793,27.41082179,49.0,'yes'
132.279558,213.5087719,126.2105263,503.6315789,26.66693213,50.0,'yes'
123.7522831,222.0181818,134.6727273,510.0363636,21.58721691,51.0,'yes'
123.9972973,221.6714286,156.2428571,493.4142857,24.43919568,52.0,'yes'
130.0105018,184.8703704,103.1666667,319.7777778,21.73225274,53.0,'yes'
122.7978339,202.3428571,132.4857143,322.2857143,15.8353776,54.0,'yes'
132.4047758,201.3055556,125.4074074,373.8055556,23.22029498,55.0,'yes'
