point.id,motherset,origin,original.label,diff.score,ground.truth,REGION.CENTROID.COL,REGION.CENTROID.ROW,SHORT.LINE.DENSITY.5,SHORT.LINE.DENSITY.2,VEDGE.MEAN,VEDGE.SD,HEDGE.MEAN,HEDGE.SD,INTENSITY.MEAN,RAWRED.MEAN,RAWBLUE.MEAN,RAWGREEN.MEAN,EXRED.MEAN,EXBLUE.MEAN,EXGREEN.MEAN,VALUE.MEAN,SATURATION.MEAN,HUE.MEAN
imgseg_point_0001,imgseg,multiclass,BRICKFACE,0.000105037031282951,nominal,0.206782678276209,0.0275326714761627,-0.356970027078398,-0.194509585159686,-0.598820527657946,-0.125904194516498,-0.486985006057189,-0.13488141861384,-0.808520510620427,-0.727463513667746,-0.83903843302904,-0.841199912255705,1.39294855456785,-0.866777149910848,0.0717734655048606,-0.870413737969688,0.520092098108883,0.15600416329861
imgseg_point_0002,imgseg,multiclass,BRICKFACE,0.000144688523169956,nominal,0.864708683822022,0.166702192504468,-0.356970027078398,-0.194509585159686,-0.578236113256218,-0.121361946462501,-0.533152009873065,-0.138848897349914,-0.795908494387909,-0.698922059123556,-0.836485764044163,-0.832033535649245,1.52723847810455,-0.923548131958519,0.0332988900146177,-0.854881587290477,0.489192540477877,0.283485184241081
imgseg_point_0003,imgseg,multiclass,BRICKFACE,0.000225928128490982,nominal,-0.272955034100946,0.271079333275697,-0.356970027078398,-0.194509585159686,-0.598820557299564,-0.124913159116658,-0.440818071491783,-0.131291798927337,-0.810460818795108,-0.721120983435583,-0.849249095184147,-0.841199912255705,1.46968566976425,-0.923548131958519,0.0910107965339228,-0.875591120752818,0.463121167389828,0.256870522563253
imgseg_point_0004,imgseg,multiclass,BRICKFACE,0.000143029944296047,nominal,-1.24613725063746,0.236286953018621,-0.356970027078398,-0.194509585159686,-0.516482669970111,-0.123591777260504,-0.36387311129897,-0.13211048176834,-0.817251897406491,-0.714778436078556,-0.867117759699084,-0.847310834576536,1.59438343123998,-1.00302748332208,0.10062945772006,-0.870413737969688,0.642724928245439,0.40031782455382
imgseg_point_0005,imgseg,multiclass,BRICKFACE,0.000192455273265946,nominal,-1.17760329172644,-0.216013990323372,-0.356970027078398,-0.194509585159686,-0.434144897501929,-0.1189669429715,-0.425429051753032,-0.132866195650623,-0.812401126969789,-0.736977331849143,-0.83903843302904,-0.844255374791078,1.3449878651239,-0.844068770376186,0.0813921353477858,-0.867825044248302,0.595796115045326,0.121089866705729
imgseg_point_0006,imgseg,multiclass,BRICKFACE,8.91603206759628e-05,nominal,-1.49285950271714,0.0797212418617771,-0.356970027078398,-0.194509585159686,-0.516482744074157,-0.125573850557595,-0.486985006057189,-0.13488141861384,-0.825013148441145,-0.740148599819368,-0.862012435513732,-0.853421751397538,1.44090924401179,-0.923548131958519,0.119866728151605,-0.885945874669976,0.589616343679791,0.244015760131457
imgseg_point_0007,imgseg,multiclass,BRICKFACE,0.00058353598059202,nominal,-1.3557915848951,-0.98144635597905,2.41014662494193,-0.194509585159686,-0.331222629117568,-0.107487415276639,0.0054628361274776,-0.0860121893210382,-0.446652669323843,-0.37862370871638,-0.420401025063436,-0.538709379745784,0.980486656428457,-0.191202686312844,-0.659244247920688,-0.448457351010699,0.0440026697888058,-0.16844578198703
imgseg_point_0008,imgseg,multiclass,BRICKFACE,0.000288789512283949,nominal,-1.52027308628155,-0.23341018045191,-0.356970027078398,-0.194509585159686,-0.0636246194211214,-0.00797096418604013,0.0670187488813515,-0.122790050228288,-0.500981350603279,-0.397651287996292,-0.522507715536511,-0.569263950101224,1.3449878651239,-0.554536871273949,-0.409159247530465,-0.552004936778688,-0.254236801809528,0.0115194166502928
imgseg_point_0009,imgseg,multiclass,BRICKFACE,0.000253046178580019,nominal,-1.56139346162816,-0.268202560708986,-0.356970027078398,-0.194509585159686,-0.207715824059804,-0.10946951278969,-0.286928137256062,-0.123986605483592,-0.507772455408848,-0.394480048567507,-0.530165754654745,-0.584541262778085,1.44090924401179,-0.5658910533772,-0.486108398510951,-0.559771043570869,-0.167038778054938,0.0393206944819454
imgseg_point_0010,imgseg,multiclass,BRICKFACE,9.89482806339481e-05,nominal,-0.547090869745035,-0.389975891608753,-0.356970027078398,-0.194509585159686,-0.207715861111827,-0.0985681420328297,-0.317706121333187,-0.119452350245625,-0.412697223878555,-0.331054660621557,-0.399979686968821,-0.502043840320974,1.07640803358976,-0.253650687880721,-0.649625430912364,-0.427747833857101,-0.0968018592974924,-0.12664061904747
